Account,date,sentiment_bucket,trades,daily_pnl_usd,avg_trade_size_usd,total_notional_usd,realized_trades,wins,losses,buy_notional_usd,sell_notional_usd,avg_leverage_proxy,p90_leverage_proxy,total_fees_usd,win_rate,long_short_ratio,net_long_bias,cum_pnl_usd,running_peak_usd,drawdown_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,177,0.0,5089.718248587571,900880.13,0,0,0,0.0,900880.1300000001,1.326509672860769,1.0250515887856313,167.796055,,0.0,-0.9999999999999989,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,68,0.0,7976.664411764705,542413.1799999999,0,0,0,0.0,542413.1799999999,1.7851663136938805,1.0858948980108472,67.883615,,0.0,-0.9999999999999981,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,40,0.0,23734.5,949380.0,0,0,0,0.0,949380.0,1.0166210852655884,1.0150650603087672,94.93798300000002,,0.0,-0.9999999999999989,0.0,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,12,-21227.0,28186.666666666668,338240.0,12,0,12,338239.99999999994,-0.0,0.9869144346319424,0.9994827539299281,33.823995,0.0,,0.9999999999999971,-21227.0,0.0,-21227.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,27,1603.1,17248.14814814815,465700.0,12,12,0,232210.01,233489.98999999996,2.903478335929426,1.6365986144049627,104.62249,1.0,0.9945180519301922,-0.0027485076229331103,-19623.9,0.0,-19623.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Greed,82,-132271.0,16058.536341463414,1316799.98,82,0,82,1316799.9800000002,-0.0,0.945902597577641,0.9995755127436807,131.679967,0.0,,0.9999999999999993,-151894.9,0.0,-151894.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,23,0.0,48561.68565217392,1116918.77,0,0,0,0.0,1116918.77,1.0339420316681727,1.0461568972987974,390.921553,,0.0,-0.9999999999999991,-151894.9,0.0,-151894.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,33,-175611.00005600002,36736.36242424243,1212299.96,33,0,33,1212299.96,-0.0,0.9809040579497772,0.9999055775304303,121.229992,0.0,,0.9999999999999992,-327505.900056,0.0,-327505.900056
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,465,71393.964098,11410.954021505377,5306093.62,112,23,89,1586190.8599999999,3719902.76,1.2658621767017277,1.0367915527465041,780.33644,0.20535714285714285,0.4264065386483382,-0.40212481211366186,-256111.93595800002,0.0,-256111.93595800002
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,51,40218.599998,9400.588039215687,479429.99,28,28,0,234000.0,245429.98999999996,1.0001225923888968,1.003903017857276,23.971493,1.0,0.9534287150482303,-0.023840790602189774,-215893.33596000003,0.0,-215893.33596000003
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,10,76710.0,185847.0,1858470.0,9,9,0,927180.0,931290.0,5.562386687032658,5.897738980703946,92.923496,1.0,0.995586766742905,-0.0022114965536166836,-139183.33596000003,0.0,-139183.33596000003
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,839,101011.685664,23593.019856972587,19794543.66,371,256,115,9394216.19,10400327.469999999,1.2405350299843338,1.0352853031361262,2355.038296,0.6900269541778976,0.9032615768203307,-0.05082770774014396,-38171.65029600002,0.0,-38171.65029600002
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,531,375620.270243,10576.687156308852,5616220.88,111,83,28,2385099.87,3231121.0100000002,1.0896082769941113,1.0134317105877486,704.19937,0.7477477477477478,0.738164823483352,-0.1506388651865131,337448.619947,337448.619947,0.0
