sentiment_bucket,segment,account_days,traders,mean_daily_pnl_usd,median_daily_pnl_usd,positive_day_rate,mean_win_rate,mean_trades,mean_trade_size_usd,mean_leverage_proxy,mean_net_long_bias,es10_daily_pnl_usd,segment_type
Fear,High leverage-proxy,187,10,470.6397718983957,128.67829,0.6737967914438503,0.8577467057462951,54.64705882352941,8169.485951631152,8.422105376591276,-0.047966721377501485,-7827.946641210525,leverage_segment
Fear,Low leverage-proxy,603,22,6647.190800641791,119.3611,0.582089552238806,0.8369485401181318,121.09121061359868,8641.61753069348,2.349530819060098,0.06810134741897528,-11813.730619967213,leverage_segment
Greed,High leverage-proxy,366,10,2117.403596062841,308.8442165,0.7103825136612022,0.8587755905583739,56.36338797814208,3205.337534591326,6.801346946689438,-0.00433321456631807,-685.8846143962264,leverage_segment
Greed,Low leverage-proxy,808,21,5062.290677555693,252.86417649999999,0.6126237623762376,0.8550210156989329,86.22029702970298,7199.981649853252,3.6681927058174035,-0.05900366966197497,-3241.5576002268367,leverage_segment
Fear,Frequent,235,10,10926.138391897874,535.4072209999999,0.7276595744680852,0.8458848702379616,246.42127659574467,9382.763390403183,2.5116357027215837,0.07957509141477963,-10250.903620041667,activity_segment
Fear,Infrequent,555,22,2754.2759784432433,64.128219,0.5513513513513514,0.8403026678433893,45.63603603603604,8168.720445438642,4.3269664850022265,0.024135475880317295,-11130.550906392858,activity_segment
Greed,Frequent,232,9,6185.57371350862,714.773727,0.7629310344827587,0.8684163257562235,190.0905172413793,4317.219513077628,1.890087498969003,0.03244776200279724,-9684.651339018177,activity_segment
Greed,Infrequent,942,22,3641.451679501062,221.3950315,0.613588110403397,0.8526923725962622,49.038216560509554,6357.902105846967,5.323452642280242,-0.060285352869211405,-1523.7787756895605,activity_segment
Fear,Consistent winners,326,10,3477.062022095092,212.8555155,0.7668711656441718,0.8614822128606285,160.90184049079755,3935.477072970708,4.423698084888544,0.011023582494612001,-5490.282356030303,consistency_segment
Fear,Inconsistent,464,22,6385.222997691811,0.0,0.4892241379310345,0.8222824612128854,66.34267241379311,11757.809737445568,3.3396017535391005,0.061425964876736634,-14641.626917510637,consistency_segment
Greed,Consistent winners,477,9,2934.159251742138,554.298224,0.8637316561844863,0.8556377424896009,121.9958071278826,1745.3965178878975,4.175410493028804,-0.03378121223319305,-3998.664189830769,consistency_segment
Greed,Inconsistent,697,22,4972.319398196556,0.0,0.4921090387374462,0.8570706224973538,46.05882352941177,8835.271982366321,4.966315471469235,-0.04755707802426844,-2337.282840841808,consistency_segment
